index,start,end,timecode,duration,lead,reveal,hold,exit,speaker,text
0,0.000,4.793,00:00.000,4.793,0.000,2.543,2.000,0.250,Narration,"The Princess Frog lets out a final wail as its form dissolves into the whirling blizzard."
1,4.793,9.953,00:04.792,5.160,0.000,2.110,2.800,0.250,Narration,"In the center of the crater, Ives sways before crashing into the snow."
2,9.953,11.522,00:09.952,1.569,0.200,0.119,1.000,0.250,Jackie,"IVES!"
3,11.522,15.882,00:11.521,4.360,0.200,1.910,2.000,0.250,Narration,"Jackie presses her fingers to Ives' neck, checking for a pulse."
4,15.882,19.257,00:15.881,3.375,0.600,1.425,1.100,0.250,Ives,"...Jackie?"
5,19.257,23.130,00:19.256,3.873,0.000,1.963,1.660,0.250,Jackie,"I'm here! Just hold on. We have to get you back to Kade."
6,23.130,27.879,00:23.130,4.749,0.000,3.299,1.200,0.250,Ives,"No can do, kid. My legs... they don't move."
7,27.879,32.481,00:27.879,4.601,0.000,3.051,1.300,0.250,Narration,"Jackie scrambles through her pockets. Takes out her Serum. It's pink."
8,32.481,35.342,00:32.480,2.861,0.400,0.971,1.240,0.250,Narration,"Jackie sets the serum in the snow."
9,35.342,38.146,00:35.341,2.804,0.200,1.114,1.240,0.250,Narration,"And wraps her arms tightly around Ives."
10,38.146,40.769,00:38.146,2.623,0.000,1.203,1.170,0.250,Jackie,"I-I can still carry you back."
11,40.769,43.885,00:40.769,3.116,0.000,1.486,1.380,0.250,Narration,"Jackie gets under Ives' shoulder and begins to lift."
12,43.885,47.938,00:43.884,4.054,0.000,2.564,1.240,0.250,Ives,"Ah, kid... Just, give me a sec."
13,47.938,49.223,00:47.938,1.285,0.000,0.935,0.000,0.350,Jackie,"Ives, you don't have the time to–"
14,49.223,52.023,00:49.223,2.800,0.800,0.350,1.400,0.250,Jackie,"..."
15,52.023,56.270,00:52.023,4.247,0.000,2.687,1.310,0.250,Jackie,"Alright. Just... please tell me you'll be alright."
16,56.270,58.418,00:56.270,2.148,0.000,0.798,1.100,0.250,Ives,"Sorry, kid."
17,58.418,62.418,00:58.417,4.000,0.000,2.450,1.300,0.250,Ives,"I can't be making any more promises I can't keep."
18,62.418,67.618,01:02.417,5.200,0.000,3.750,1.200,0.250,Ives,"I promised before we'd find out what happened to your Ma, together."
19,67.618,71.668,01:07.617,4.050,0.000,2.700,1.100,0.250,Ives,"Look at me now, not much use to you like this."
20,71.668,75.670,01:11.667,4.003,0.000,2.453,1.300,0.250,Narration,"A burning sensation rises in Jackie's chest, threatening to burst from her throat."
21,75.670,77.040,01:15.670,1.370,0.000,1.020,0.000,0.350,Jackie,"Ives, I'm so sorry, it's all my—"
22,77.040,78.740,01:17.040,1.700,0.700,0.000,1.000,0.000,Jackie,"..."
23,78.740,81.825,01:18.740,3.085,0.300,1.235,1.300,0.250,Jackie,"""Fight its shape, not its strength."""
24,81.825,84.822,01:21.825,2.996,0.000,1.436,1.310,0.250,Jackie,"You taught me that. It saved my life."
25,84.822,88.207,01:24.821,3.386,0.200,1.486,1.450,0.250,Narration,"Jackie pulls up her pant leg to reveal the dressing."
26,88.207,90.721,01:28.207,2.514,0.000,1.094,1.170,0.250,Jackie,"We've been together the whole time."
